Filename                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
HexagonHazardRecognizer.cpp                     136                76    44.12%           5                 0   100.00%         124                61    50.81%
HexagonBranchRelaxation.cpp                      78                38    51.28%           9                 0   100.00%         131                46    64.89%
HexagonGenInsert.cpp                            676               399    40.98%          85                42    50.59%        1220               722    40.82%
HexagonAsmPrinter.h                               3                 0   100.00%           3                 0   100.00%           8                 0   100.00%
HexagonSelectionDAGInfo.h                         1                 0   100.00%           1                 0   100.00%           1                 0   100.00%
HexagonMachineScheduler.cpp                     864               383    55.67%          25                 3    88.00%         848               202    76.18%
HexagonTargetTransformInfo.h                     10                 8    20.00%          10                 8    20.00%          24                20    16.67%
HexagonGenExtract.cpp                            87                44    49.43%           8                 0   100.00%         187                70    62.57%
HexagonLoopIdiomRecognition.cpp                1302              1292     0.77%          80                79     1.25%        2270              2260     0.44%
HexagonBitTracker.h                               1                 1     0.00%           1                 1     0.00%           1                 1     0.00%
HexagonEarlyIfConv.cpp                          606               567     6.44%          38                29    23.68%         839               752    10.37%
HexagonBlockRanges.cpp                          336               130    61.31%          26                12    53.85%         499               166    66.73%
HexagonFrameLowering.cpp                       1258               865    31.24%          64                34    46.88%        2399              1615    32.68%
HexagonStoreWidening.cpp                        179               155    13.41%          21                12    42.86%         436               363    16.74%
HexagonTargetMachine.h                            1                 0   100.00%           1                 0   100.00%           3                 0   100.00%
HexagonCommonGEP.cpp                            700               578    17.43%          52                36    30.77%        1037               831    19.86%
HexagonConstExtenders.cpp                       986               724    26.57%         105                54    48.57%        1700              1232    27.53%
HexagonTargetTransformInfo.cpp                  168               168     0.00%          31                31     0.00%         256               256     0.00%
HexagonCFGOptimizer.cpp                          89                74    16.85%           9                 3    66.67%         184               150    18.48%
HexagonFixupHwLoops.cpp                          44                18    59.09%           9                 1    88.89%         116                48    58.62%
HexagonISelLowering.cpp                        1253              1071    14.53%         102                85    16.67%        3032              2247    25.89%
HexagonNewValueJump.cpp                         433               345    20.32%          13                 6    53.85%         617               525    14.91%
HexagonTargetMachine.cpp                         99                11    88.89%          20                 3    85.00%         222                23    89.64%
HexagonGenPredicate.cpp                         285               235    17.54%          24                14    41.67%         427               318    25.53%
MCTargetDesc/HexagonELFObjectWriter.cpp         131                55    58.02%           3                 0   100.00%         258               105    59.30%
MCTargetDesc/HexagonShuffler.cpp                341                27    92.08%          30                 0   100.00%         592                39    93.41%
MCTargetDesc/HexagonShuffler.h                   33                 6    81.82%          31                 6    80.65%          57                13    77.19%
MCTargetDesc/HexagonMCDuplexInfo.cpp            632               280    55.70%          10                 1    90.00%        1003               486    51.55%
MCTargetDesc/HexagonMCCodeEmitter.cpp           262                38    85.50%          11                 1    90.91%         432                44    89.81%
MCTargetDesc/HexagonMCChecker.cpp               454                62    86.34%          30                 2    93.33%         673               128    80.98%
MCTargetDesc/HexagonBaseInfo.h                    6                 6     0.00%           1                 1     0.00%           9                 9     0.00%
MCTargetDesc/HexagonMCInstrInfo.cpp             419                75    82.10%         106                19    82.08%         783               136    82.63%
MCTargetDesc/HexagonMCAsmInfo.cpp                 2                 1    50.00%           2                 1    50.00%          20                 1    95.00%
MCTargetDesc/HexagonMCShuffler.h                  2                 1    50.00%           2                 1    50.00%           6                 3    50.00%
MCTargetDesc/HexagonInstPrinter.cpp              40                 6    85.00%           4                 1    75.00%          60                 7    88.33%
MCTargetDesc/HexagonMCExpr.cpp                   34                 8    76.47%          18                 2    88.89%          80                20    75.00%
MCTargetDesc/HexagonMCShuffler.cpp              147                73    50.34%           7                 2    71.43%         175                69    60.57%
MCTargetDesc/HexagonAsmBackend.cpp              334                57    82.93%          20                 2    90.00%         673                92    86.33%
MCTargetDesc/HexagonMCCodeEmitter.h               1                 0   100.00%           1                 0   100.00%           1                 0   100.00%
MCTargetDesc/HexagonMCCompound.cpp              253                42    83.40%           6                 0   100.00%         334                34    89.82%
MCTargetDesc/HexagonMCInstrInfo.h                 7                 1    85.71%           7                 1    85.71%          15                 3    80.00%
MCTargetDesc/HexagonMCELFStreamer.cpp            37                 8    78.38%           7                 1    85.71%          81                10    87.65%
MCTargetDesc/HexagonInstPrinter.h                 3                 2    33.33%           3                 2    33.33%           3                 2    33.33%
MCTargetDesc/HexagonMCChecker.h                  14                 0   100.00%           2                 0   100.00%           8                 0   100.00%
MCTargetDesc/HexagonMCTargetDesc.cpp            204                25    87.75%          35                 5    85.71%         426                61    85.68%
BitTracker.h                                     96                15    84.38%          42                 3    92.86%         144                23    84.03%
HexagonRegisterInfo.cpp                          92                75    18.48%          17                 8    52.94%         280               178    36.43%
HexagonSplitConst32AndConst64.cpp                18                 9    50.00%           5                 0   100.00%          59                39    33.90%
HexagonRegisterInfo.h                             2                 0   100.00%           2                 0   100.00%           6                 0   100.00%
HexagonISelLoweringHVX.cpp                      571               567     0.70%          68                66     2.94%        1745              1733     0.69%
HexagonBitTracker.cpp                           891               709    20.43%          20                 6    70.00%        1224               779    36.36%
HexagonISelDAGToDAG.cpp                        1238              1144     7.59%          80                61    23.75%        2121              1895    10.66%
HexagonOptAddrMode.cpp                          500               415    17.00%          21                11    47.62%         670               509    24.03%
HexagonISelDAGToDAGHVX.cpp                     1093              1093     0.00%          99                99     0.00%        1963              1963     0.00%
HexagonISelLowering.h                            31                25    19.35%          14                10    28.57%          52                39    25.00%
HexagonExpandCondsets.cpp                       728               402    44.78%          42                12    71.43%        1079               491    54.49%
HexagonVLIWPacketizer.cpp                      1187               766    35.47%          61                24    60.66%        1658               954    42.46%
HexagonMCInstLower.cpp                           44                21    52.27%           2                 0   100.00%         136                67    50.74%
HexagonHazardRecognizer.h                         4                 0   100.00%           2                 0   100.00%           5                 0   100.00%
HexagonVectorPrint.cpp                          176               176     0.00%           8                 8     0.00%         127               127     0.00%
HexagonArch.h                                     3                 0   100.00%           1                 0   100.00%           7                 0   100.00%
HexagonInstrInfo.h                                6                 6     0.00%           6                 6     0.00%          18                18     0.00%
HexagonGenMux.cpp                               167                49    70.66%          19                 1    94.74%         264                38    85.61%
HexagonVLIWPacketizer.h                           3                 1    66.67%           3                 1    66.67%           9                 3    66.67%
HexagonMachineFunctionInfo.cpp                    1                 1     0.00%           1                 1     0.00%           1                 1     0.00%
HexagonISelDAGToDAG.h                             5                 1    80.00%           5                 1    80.00%          20                 4    80.00%
HexagonPeephole.cpp                              86                46    46.51%           5                 0   100.00%         200               112    44.00%
RDFDeadCode.cpp                                 137                62    54.74%          12                 2    83.33%         202                94    53.47%
HexagonMachineFunctionInfo.h                     23                18    21.74%          23                18    21.74%          33                28    15.15%
HexagonInstrInfo.cpp                           2696              2286    15.21%         190               134    29.47%        4041              3417    15.44%
HexagonMachineScheduler.h                        29                12    58.62%          18                 5    72.22%          74                26    64.86%
TargetInfo/HexagonTargetInfo.cpp                  2                 0   100.00%           2                 0   100.00%           8                 0   100.00%
BitTracker.cpp                                  513               273    46.78%          61                29    52.46%         967               470    51.40%
HexagonBitSimplify.cpp                         1976              1335    32.44%         103                40    61.17%        2756              1827    33.71%
HexagonOptimizeSZextends.cpp                     54                31    42.59%           6                 1    83.33%          98                50    48.98%
Disassembler/HexagonDisassembler.cpp            260                39    85.00%          29                 1    96.55%         617                91    85.25%
HexagonDepTimingClasses.h                       106               106     0.00%           5                 5     0.00%         131               131     0.00%
RDFCopy.cpp                                      91                79    13.19%           6                 3    50.00%         180               120    33.33%
HexagonDepDecoders.inc                           11                 1    90.91%          11                 1    90.91%          44                 4    90.91%
HexagonSplitDouble.cpp                          621               547    11.92%          28                20    28.57%        1091               957    12.28%
HexagonVectorLoopCarriedReuse.cpp               385               379     1.56%          30                29     3.33%         496               490     1.21%
HexagonCopyToCombine.cpp                        400               318    20.50%          23                14    39.13%         727               581    20.08%
HexagonSelectionDAGInfo.cpp                      15                15     0.00%           1                 1     0.00%          42                42     0.00%
HexagonHardwareLoops.cpp                       1000               982     1.80%          37                31    16.22%        1604              1572     2.00%
HexagonRDFOpt.cpp                               109                82    24.77%          16                 5    68.75%         257               179    30.35%
HexagonConstPropagation.cpp                    1794              1317    26.59%          98                46    53.06%        2633              1766    32.93%
HexagonTargetStreamer.h                           5                 3    40.00%           5                 3    40.00%           5                 3    40.00%
HexagonVExtract.cpp                              36                25    30.56%           7                 2    71.43%         142                96    32.39%
RDFDeadCode.h                                     6                 3    50.00%           6                 3    50.00%           6                 3    50.00%
HexagonBlockRanges.h                             50                10    80.00%          23                 7    69.57%          72                14    80.56%
HexagonFrameLowering.h                            8                 2    75.00%           8                 2    75.00%          32                 6    81.25%
HexagonSubtarget.h                               99                66    33.33%          56                29    48.21%         148                93    37.16%
HexagonSubtarget.cpp                            347               224    35.45%          22                10    54.55%         457               262    42.67%
RDFCopy.h                                         5                 0   100.00%           5                 0   100.00%           5                 0   100.00%
HexagonAsmPrinter.cpp                           255               233     8.63%          10                 7    30.00%         682               634     7.04%
AsmParser/HexagonAsmParser.cpp                  911               221    75.74%         122                32    73.77%        1729               476    72.47%
HexagonTargetObjectFile.cpp                     561               474    15.51%          13                 9    30.77%         345               277    19.71%

Files which contain no functions:
MCTargetDesc/HexagonMCTargetDesc.h                0                 0         -           0                 0         -           0                 0         -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                         32398             22619    30.18%        2577              1308    49.24%       53682             35852    33.21%
